"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"51915164",2022,1,"ATP Tour",1641170400,"03 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Ruud C.","Bautista-Agut R.","529271","467387",8,19,4160,2260,2,0,2,4,6,6,7,"","","","","","",1.61,2.2,1.66,2.1,10,2,3,0,68,79,21,32,0,33,67,0
"74859670",2022,3,"ATP Chall",1641171000,"03 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Serdarusic N.","Statham J. R.","681223","518536",252,1158,246,7,1,2,1,3,6,6,3,6,2,"","","","",1.36,3,1.4,2.75,10,9,2,7,74,65,35,26,60,33,67,40
"39271248",2022,3,"ATP Chall",1641171300,"03 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Bourchier H.","Walkin B.","487990","139468",458,933,81,15,2,1,2,6,3,4,6,4,6,"","","","",1.2,4.33,1.25,3.75,4,6,6,3,65,62,38,35,50,50,50,50
"87445094",2022,3,"ATP Chall",1641171900,"03 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Bachinger M.","Safwat M.","164915","617562",234,214,273,298,1,2,1,4,6,7,6,7,6,"","","","",1.36,3,1.4,2.75,9,15,3,2,68,70,30,32,100,33,67,0
"19006302",2022,3,"ATP Chall",1641172200,"03 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Baldi F.","Kicker N.","105751","713937",369,216,118,297,2,0,2,3,6,1,6,"","","","","","",2.75,1.4,2.62,1.44,0,6,1,0,51,74,26,49,0,57,43,0
"56160280",2022,3,"ATP Chall",1641172500,"03 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Sekulic P.","Kuhn N.","278809","234217",990,242,12,255,2,1,2,7,6,2,6,6,7,"","","","",6,1.12,5,1.16,7,13,1,3,65,70,30,35,18,67,33,82
"88362648",2022,3,"ATP Chall",1641174000,"03 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Basic M.","Fancutt T. J.","527695","938897",233,663,276,39,1,2,0,7,6,6,4,"","","","","","",1.2,4.33,1.25,3.75,0,7,0,3,72,66,34,28,40,25,75,60
"53752128",2022,1,"ATP Tour",1641174600,"03 Jan 2022","Melbourne (Summer Set) ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Hijikata R.","Kudla D.","981922","698300","","","","",1,2,0,6,1,7,5,"","","","","","",3.55,1.3,3,1.38,4,1,2,1,67,51,49,33,57,33,67,43
"38987246",2022,1,"ATP Tour",1641175500,"03 Jan 2022","Adelaide ATP","1/16-finals","hard",1,"FINISHED","FINISHED","Monteiro T.","Altmaier D.","261646","677372",89,84,805,813,1,2,1,6,2,3,6,7,6,"","","","",2.3,1.61,2.2,1.61,9,8,1,4,70,57,43,30,31,60,40,69
"68882157",2022,1,"ATP Tour",1641175500,"03 Jan 2022","Melbourne (Summer Set) ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Laaksonen H.","Kovalik J.","812008","869004","","","","",1,2,0,6,4,6,2,"","","","","","",1.3,3.55,1.38,3,4,1,0,3,67,53,47,33,67,50,50,33
"38296003",2022,1,"ATP Tour",1641176700,"03 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Rune H.","Varillas J. P.","415691","820964","","","","",1,2,0,6,2,6,3,"","","","","","",1.18,5,1.27,3.75,4,2,3,1,80,58,42,20,50,0,0,50
